dataset,Self_role,new_caseID,source_caseID,Other_role,test_case_index,negotiate_alignment,self_init_label,other_init_label,negotiate_final_label,self_v0_model_seed,other_v0_model_seed,selected_model_seed,model_self_sacrifice,label_self_sacrifice,selection_score,settled
acs_coverage,fairness_advocates,10,269,judges,1008,self,1,0,1,109,260,58,0.007323369565217397,0.0,-0.0036616847826086985,1
acs_coverage,fairness_advocates,11,405,community_members,141,other,0,1,1,275,393,393,0.037696170747018254,0.17403656821378344,0.4057640841364759,1
acs_coverage,fairness_advocates,12,225,community_members,912,other,0,1,1,98,173,97,0.13551278908637943,0.3332711732711732,0.34574880315128537,1
acs_coverage,fairness_advocates,13,380,community_members,948,other,0,1,1,88,68,68,0.12188820119854604,0.10145276292335104,0.3648326111748062,1
acs_coverage,fairness_advocates,14,416,defendants,411,self,0,1,0,7,67,15,0.0018610421836229296,0.0,0.12009902412442763,1
acs_coverage,fairness_advocates,15,8,community_members,579,self,0,1,0,116,173,184,0.006101975850896446,0.0,0.08569436575254924,1
acs_coverage,fairness_advocates,16,396,community_members,1000,other,0,1,1,260,393,393,0.13408421308179475,0.0030141843971630555,0.36774393760929625,1
acs_coverage,fairness_advocates,17,11,community_members,1100,self,0,1,0,98,173,197,0.1438388103206485,0.0,-0.07191940516032425,1
acs_coverage,fairness_advocates,18,364,community_members,400,other,0,1,1,36,118,12,0.11373743327766317,0.0,0.36443074236370426,1
acs_coverage,fairness_advocates,19,166,community_members,360,other,0,1,1,540,12,393,0.131628453850676,0.47828580333489157,0.2458601942476366,1
acs_coverage,judges,0,229,defendants,785,other,1,0,0,109,15,37,0.003915511149765738,0.6563159445918066,0.3980422444251171,1
acs_coverage,judges,1,224,defendants,477,other,1,0,0,62,15,37,0.006286400844747075,0.664987006850933,0.3638936257039937,1
acs_coverage,judges,2,156,defendants,917,other,1,0,0,202,92,98,0.02839307048984485,0.6364444444444444,0.3858034647550775,1
acs_coverage,judges,3,166,defendants,479,other,1,0,0,202,92,533,0.032145417306707724,0.6559316820463007,0.38392729134664605,1
acs_coverage,judges,4,17,community_members,152,self,0,1,0,260,12,28,0.07144172705314011,0.0,-0.03572086352657006,1
acs_coverage,judges,5,85,community_members,194,self,0,1,0,533,12,8,0.0412143629677697,0.0,-0.02060718148388485,1
acs_coverage,judges,6,175,fairness_advocates,1221,self,1,0,1,67,15,67,0.0,0.0,0.0,1
acs_coverage,judges,7,167,defendants,611,other,1,0,0,202,92,590,0.014648404164533169,0.6677188328912466,0.3926757979177333,1
acs_coverage,judges,8,147,community_members,134,other,0,1,1,139,393,537,0.06657647624502383,0.0,0.29659331152162355,1
acs_coverage,judges,9,230,fairness_advocates,565,self,1,0,1,541,15,67,0.009125778692291808,0.0,-0.004562889346145904,1
acs_coverage,judges,10,162,defendants,285,other,1,0,0,202,92,590,0.027981737497866588,0.6443790849673201,0.3860091312510666,1
acs_coverage,judges,11,99,community_members,1138,other,0,1,1,26,12,8,0.07795392602206364,0.7364761904761904,0.3610230369889681,1
acs_coverage,judges,12,87,community_members,1112,other,0,1,1,93,12,8,0.08211313000216303,0.7435745614035087,0.35894343499891845,1
acs_coverage,judges,13,154,community_members,414,other,0,1,1,202,12,12,0.09700271187726384,0.7012783897728817,0.30022255093705175,1
acs_coverage,judges,14,151,defendants,776,other,1,0,0,202,36,217,0.042556750298685664,0.6677651783605008,0.34423578470570804,1
acs_coverage,judges,15,165,defendants,109,other,1,0,0,202,92,533,0.032145417306707724,0.6559316820463007,0.38392729134664605,1
acs_coverage,judges,16,106,community_members,688,self,0,1,0,430,12,8,0.059562621674237426,0.0,-0.029781310837118713,1
acs_coverage,judges,17,127,fairness_advocates,677,self,1,0,1,67,15,67,0.0,0.0,0.0,1
acs_coverage,judges,18,222,fairness_advocates,976,self,1,0,1,385,15,67,0.005909694085591943,0.0,0.22237508928277333,1
acs_coverage,judges,19,232,defendants,1159,other,1,0,0,460,93,93,0.04886854461155532,0.7046389625699969,0.32264194329352697,1
compas,community_members,0,464,defendants,2,other,1,0,0,93,79,65,0.10726705166363515,0.47498677248677246,0.3463664741681824,1
compas,community_members,1,805,judges,423,self,1,0,1,26,112,129,0.05927557909518244,0.0,-0.09837177034320164,1
compas,community_members,2,878,judges,403,self,1,0,1,93,65,7,0.036692283843898776,0.0,0.3433669914181902,1
compas,community_members,3,702,judges,830,self,1,0,1,52,28,52,0.0,0.0,0.34390263250401737,1
compas,community_members,4,794,fairness_advocates,862,other,1,0,0,26,86,129,0.07830535962836871,0.41301386377335736,0.4055873018864486,1
compas,community_members,5,998,judges,686,other,1,0,1,93,65,9,0.022916740783281986,0.0,0.35223197525317274,1
compas,community_members,6,269,fairness_advocates,265,other,1,0,0,0,36,19,0.0009090909090910815,0.4033251933251933,0.4857688598227771,1
compas,community_members,7,997,judges,621,other,1,0,1,93,65,9,0.022916740783281986,0.0,0.35223197525317274,1
compas,community_members,8,996,judges,565,other,1,0,1,93,65,9,0.022916740783281986,0.0,0.35223197525317274,1
compas,community_members,9,821,judges,380,self,1,0,1,26,112,29,0.04772098167278804,0.0,0.34122702987366504,1
compas,community_members,10,676,judges,1089,self,1,0,1,52,28,9,0.04574163279642751,0.0,0.3211471242480379,1
compas,community_members,11,809,judges,623,self,1,0,1,26,112,129,0.05927557909518244,0.0,-0.09837177034320164,1
compas,community_members,12,848,judges,1214,self,1,0,1,46,19,9,0.044675281087430796,0.0,0.3263163392955096,1
compas,community_members,13,859,judges,1022,self,1,0,1,46,7,9,0.03134194775409749,0.0,0.3431978399118093,1
compas,community_members,14,658,judges,1014,self,1,0,1,52,114,9,0.05574163279642741,0.0,0.34623310841702826,1
compas,community_members,15,855,judges,1097,self,1,0,1,46,7,9,0.03134194775409749,0.0,0.3370062973160853,1
compas,community_members,16,468,defendants,644,other,1,0,0,93,79,65,0.10726705166363515,0.47498677248677246,0.3463664741681824,1
compas,community_members,17,845,judges,716,self,1,0,1,46,19,9,0.044675281087430796,0.0,0.3263163392955096,1
compas,community_members,18,691,judges,313,self,1,0,1,52,28,52,0.0,0.0,-0.06723057340720223,1
compas,community_members,19,936,judges,2,self,1,0,1,93,65,30,0.013785584805711015,0.0,-0.07046392024957031,1
compas,defendants,0,15,community_members,69,other,0,1,1,149,19,22,0.14859287054408998,0.4709345663444024,0.325703564727955,1
compas,defendants,1,846,judges,106,self,0,1,0,116,65,49,0.04026213829686276,0.0,-0.06686279333633138,1
compas,defendants,2,780,judges,645,self,0,1,0,116,18,1,0.06984899494051067,0.0,0.32930885369506285,1
compas,defendants,3,785,fairness_advocates,837,self,0,1,0,116,0,76,0.005636245134635232,0.0,0.17323648330835836,1
compas,defendants,4,916,judges,1092,self,0,1,0,40,65,40,0.0,0.0,0.35071769768534916,1
compas,defendants,5,713,judges,837,self,0,1,0,116,0,76,0.005636245134635232,0.0,-0.04116421783183142,1
compas,defendants,6,921,judges,1163,self,0,1,0,40,65,40,0.0,0.0,0.34511398051697534,1
compas,defendants,7,796,judges,244,self,0,1,0,71,18,50,0.0028711186785899123,0.0,0.35540133404978785,1
compas,defendants,8,988,judges,270,self,0,1,0,113,86,53,0.008418056639448723,0.0,0.34736499615623606,1
compas,defendants,9,464,community_members,603,other,0,1,1,624,22,9,0.14380920416496867,0.5298566308243727,0.3280953979175156,1
compas,defendants,10,966,judges,947,self,0,1,0,116,45,76,0.0023029118013019323,0.0,0.36168871864653407,1
compas,defendants,11,568,community_members,629,other,0,1,1,35,22,40,0.12212357636086457,0.5062499999999999,0.3389382118195676,1
compas,defendants,12,504,community_members,186,other,0,1,1,71,26,35,0.14777359964597114,0.7123642820903096,0.3261132001770144,1
compas,defendants,13,740,judges,906,self,0,1,0,116,23,76,0.005636245134635232,0.0,0.34707823924186876,1
compas,defendants,14,1010,fairness_advocates,434,self,0,1,0,113,35,76,0.03282676575514165,0.0,0.21368922228541729,1
compas,defendants,15,567,community_members,348,other,0,1,1,35,22,40,0.12212357636086457,0.7062499999999999,0.3389382118195677,1
compas,defendants,16,866,judges,1201,self,0,1,0,116,65,4,0.06573871794494834,0.0,-0.08341740716713134,1
compas,defendants,17,570,community_members,747,other,0,1,1,35,22,40,0.12212357636086457,0.5062499999999999,0.3389382118195676,1
compas,defendants,18,843,judges,809,self,0,1,0,116,65,3,0.04388011634553135,0.0,0.347487698194438,1
compas,defendants,19,571,community_members,1221,other,0,1,1,35,22,40,0.12212357636086457,0.5062499999999999,0.3389382118195676,1
compas,fairness_advocates,0,38,community_members,585,other,0,1,1,35,26,129,0.12708566653563658,0.14162962962962955,0.36121559745920495,1
compas,fairness_advocates,1,477,defendants,697,other,1,0,0,26,221,79,0.012271098947555847,0.0,0.42897281564319933,1
compas,fairness_advocates,2,497,judges,1115,self,0,1,0,1,65,23,0.0007234555969505285,0.0,0.27228791481948866,1
compas,fairness_advocates,3,488,judges,246,self,0,1,0,1,65,23,0.0007234555969505285,0.0,0.27228791481948866,1
compas,fairness_advocates,4,131,community_members,468,other,0,1,1,1,93,26,0.11406740041426378,0.0,0.37656784866566684,1
compas,fairness_advocates,5,483,judges,656,other,1,0,0,35,86,21,0.003747182692033113,0.0,0.44624798656325354,1
compas,fairness_advocates,6,354,defendants,1056,other,1,0,0,26,113,103,0.01695110102426034,0.0,0.44021936566531655,1
compas,fairness_advocates,7,495,judges,809,self,0,1,0,1,65,23,0.0007234555969505285,0.0,0.27228791481948866,1
compas,fairness_advocates,8,486,judges,149,self,0,1,0,1,65,23,0.0007234555969505285,0.0,0.27228791481948866,1
compas,fairness_advocates,9,502,defendants,1091,other,1,0,0,73,3,258,0.029103896103896076,0.0,0.14196082042429073,1
compas,fairness_advocates,10,485,judges,1056,other,1,0,0,35,86,21,0.003747182692033113,0.0,0.44682132483143017,1
compas,fairness_advocates,11,48,community_members,1029,other,0,1,1,35,26,129,0.12708566653563658,0.12762962962962965,0.3632627209159951,1
compas,fairness_advocates,12,482,judges,252,other,1,0,0,35,86,21,0.003747182692033113,0.0,0.44624798656325354,1
compas,fairness_advocates,13,493,judges,647,self,0,1,0,1,65,23,0.0007234555969505285,0.0,0.27228791481948866,1
compas,fairness_advocates,14,491,judges,587,self,0,1,0,1,65,23,0.0007234555969505285,0.0,0.27228791481948866,1
compas,fairness_advocates,15,250,community_members,924,other,0,1,1,18,26,30,0.08393373487726696,0.12552836052836047,0.3804884591107343,1
compas,fairness_advocates,16,452,community_members,565,other,0,1,1,3,5,9,0.005640662467230717,0.0,0.4452892812625372,1
compas,fairness_advocates,17,390,defendants,339,other,1,0,0,18,116,76,0.014604402472854883,0.0,0.4383920627816057,1
compas,fairness_advocates,18,469,judges,1108,self,1,0,1,26,112,2,0.0025255503051740957,0.0,0.28784665932901,1
compas,fairness_advocates,19,275,community_members,1089,other,0,1,1,139,52,9,0.0053424030307591686,0.12473032714412013,0.4316338701878696,1
compas,judges,0,406,defendants,399,other,1,0,0,139,149,56,0.006256585879873655,0.6741089640365001,0.35875755238173385,1
compas,judges,1,420,defendants,1001,other,1,0,0,139,149,56,0.006256585879873655,0.6959250894033502,0.3968717070600631,1
compas,judges,2,192,defendants,597,other,1,0,0,23,116,79,0.03836428284084159,0.7202592592592592,0.3808178585795791,1
compas,judges,3,99,community_members,743,other,0,1,1,112,26,129,0.029797718595899747,0.7345185185185183,0.3163671599064396,1
compas,judges,4,408,defendants,1025,other,1,0,0,139,149,56,0.006256585879873655,0.6741089640365001,0.35875755238173385,1
compas,judges,5,470,fairness_advocates,869,self,0,1,0,28,9,190,0.014749297506146841,0.0,-0.007374648753073421,1
compas,judges,6,452,fairness_advocates,30,self,0,1,0,86,35,21,0.00033162433826317006,0.0,-0.23603125138384165,1
compas,judges,7,451,fairness_advocates,656,self,0,1,0,86,35,21,0.00033162433826317006,0.0,0.27008030786468074,1
compas,judges,8,388,defendants,768,other,1,0,0,86,113,53,0.014905956105936813,0.7178114478114477,0.3318314841334297,1
compas,judges,9,471,defendants,136,other,1,0,0,598,71,77,0.010210582129242751,0.6941396103896103,0.3466363147473831,1
compas,judges,10,327,community_members,269,other,0,1,1,86,26,26,0.09336320245493201,0.727926267281106,0.28730471121634604,1
compas,judges,11,453,fairness_advocates,1056,self,0,1,0,86,35,21,0.00033162433826317006,0.0,0.2598403785181191,1
compas,judges,12,415,defendants,549,other,1,0,0,139,149,56,0.006256585879873655,0.6959250894033502,0.3968717070600631,1
compas,judges,13,469,fairness_advocates,183,self,0,1,0,28,9,190,0.014749297506146841,0.0,-0.007374648753073421,1
compas,judges,14,450,fairness_advocates,252,self,0,1,0,86,35,21,0.00033162433826317006,0.0,0.27008030786468074,1
compas,judges,15,466,fairness_advocates,72,self,0,1,0,28,9,190,0.011415964172813542,0.0,-0.005707982086406771,1
compas,judges,16,379,defendants,896,other,1,0,0,86,113,53,0.014905956105936924,0.716013468013468,0.3326801662747078,1
compas,judges,17,160,defendants,1223,other,1,0,0,7,79,3,0.018387869267009527,0.6954409769335141,0.3908060653664952,1
compas,judges,18,403,defendants,976,other,1,0,0,86,113,53,0.024905956105936822,0.7327664399092969,0.31922724842159717,1
compas,judges,19,380,defendants,944,other,1,0,0,86,113,53,0.014905956105936924,0.716013468013468,0.3326801662747078,1
